district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
8,M,White,0,136,4,87,1951
14,M,White,0,37,2,15,1953
3,M,Black,0,10,2,6,1960
5,M,White,0,106,1,40,1957
2,M,Black,0,5,0,0,1962
25,M,White,0,1,0,0,1988
7,F,White,0,2,0,1,1985
12,F,White,0,2,0,0,1965
19,M,White,0,3,0,0,1945
2,M,Black,0,7,0,2,1943
13,M,White,0,14,0,5,1973
1,M,Black,0,54,0,40,1960
20,M,Asian/Pacific,0,4,0,2,1953
19,M,White,0,9,0,3,1952
2,M,Black,0,27,0,10,1956
12,M,White,0,6,0,4,1975
19,M,White,0,7,0,4,1959
3,F,Black,0,5,0,2,1962
8,M,White,0,15,0,10,1949
15,M,White,0,16,0,9,1975
12,M,White,0,5,0,3,1953
12,M,White,0,7,0,7,1949
11,M,White,0,12,0,3,1967
2,M,Black,0,11,0,8,1961
19,M,Black,0,6,0,0,1964
3,M,White,0,1,0,0,1974
8,M,Black,0,1,0,0,1978
24,M,White,0,1,0,0,1982
9,F,White,0,2,0,0,1974
19,F,White,0,1,0,0,1954
15,M,White,0,0,0,0,1956
5,M,White,0,0,0,0,1932
2,M,White,0,0,0,0,1918
8,M,White,0,0,0,0,1926
2,M,Black,0,0,0,0,1921
14,M,White,0,0,0,0,1920
11,M,Black,0,0,0,0,1920
2,M,Black,0,0,0,0,1929
16,M,White,0,0,0,0,1943
2,M,Black,0,0,0,0,1934
17,M,White,0,0,0,0,1933
5,M,White,0,0,0,0,1930
8,M,White,0,0,0,0,1933
5,M,White,0,0,0,0,1990
7,M,Black,0,0,0,0,1926
13,M,White,0,0,0,0,1933
12,M,White,0,0,0,0,1941
15,M,White,0,4,0,4,1935
4,M,Black,0,1,1,0,1947
21,M,Hispanic,0,2,2,0,1953
2,M,White,0,1,1,0,1946
11,M,White,0,1,1,0,1960
2,M,Black,0,5,4,0,1959
7,M,Black,0,1,1,0,1938
21,M,Black,0,3,0,2,1930
15,M,Black,0,5,4,0,1949
13,M,Black,0,3,1,0,1946
17,M,White,0,0,0,0,1940
14,M,Hispanic,0,5,2,3,1953
18,M,White,0,2,2,0,1951
23,M,Black,0,1,0,0,1937
6,M,Black,0,14,4,6,1952
3,F,Black,0,15,5,7,1956
3,M,Black,0,47,7,35,1951
7,F,Black,0,5,0,3,1951
7,F,White,0,2,0,1,1940
8,M,White,0,2,1,0,1936
2,M,Black,0,0,0,0,1946
14,M,White,0,0,0,0,1965
4,M,Native American/Alaskan Native,1,3,2,1,1960
18,M,Black,0,12,4,7,1948
18,M,White,0,4,1,1,1944
7,M,Black,0,40,4,28,1953
16,M,White,0,13,1,10,1947
20,M,Asian/Pacific,0,13,1,2,1957
16,M,White,0,7,2,2,1951
1,M,White,0,10,1,8,1944
8,M,White,0,47,2,25,1945
18,M,White,0,19,5,10,1952
8,M,Asian/Pacific,0,47,3,26,1967
9,F,White,0,14,1,8,1952
3,M,Black,0,62,4,48,1953
11,M,Black,0,12,1,6,1950
20,M,Asian/Pacific,0,16,2,8,1947
12,M,White,0,14,2,6,1955
3,M,Black,0,32,4,13,1971
10,M,White,1,1,1,0,1941
1,M,White,0,13,3,7,1947
4,M,Black,1,4,2,1,1955
18,M,White,0,8,1,4,1948
7,M,Black,0,20,7,11,1957
1,M,Black,0,3,2,1,1942
8,M,White,0,2,1,1,1937
4,M,White,1,2,1,1,1940
1,M,White,0,3,1,1,1950
20,M,White,0,1,0,1,1960
15,M,Hispanic,0,1,1,0,1952
8,M,Black,0,2,1,1,1956
2,M,Black,0,11,2,8,1958
3,M,Black,0,1,1,0,1970
8,M,White,0,1,1,0,1941
24,M,White,0,0,0,0,1947
9,M,White,0,0,0,0,1949
5,M,Black,0,0,0,0,1929
25,M,White,0,1,0,1,1941
9,M,White,0,0,0,0,1934
4,M,Black,1,0,0,0,1933
3,M,Black,0,1,1,0,1951
16,M,White,0,0,0,0,1932
24,M,White,0,3,3,0,1940
24,M,White,0,1,1,0,1940
12,M,Black,0,4,4,0,1948
13,M,Black,0,1,1,0,1958
18,M,White,0,1,0,1,1930
16,M,White,0,3,1,1,1963
15,M,Black,0,2,1,1,1938
22,M,White,0,11,1,6,1943
12,M,Black,0,8,4,3,1941
25,M,White,0,0,0,0,1928
18,M,White,0,0,0,0,1947
20,M,Hispanic,0,50,2,38,1949
2,M,Black,0,7,3,1,1947
4,F,Black,1,13,4,5,1965
18,M,White,0,21,1,11,1944
24,M,White,0,9,0,5,1959
8,M,White,0,10,4,3,1953
23,M,White,0,0,0,0,1952
6,M,White,0,0,0,0,1926
20,M,White,0,0,0,0,1926
12,M,White,0,0,0,0,1927
10,M,White,1,0,0,0,1926
19,F,Black,0,7,2,2,1946
18,M,Black,0,65,16,36,1951
18,M,White,0,0,0,0,1949
7,M,White,0,0,0,0,1927
7,M,White,0,0,0,0,1928
4,M,White,1,0,0,0,1927
18,M,White,0,0,0,0,1933
7,M,White,0,0,0,0,1933
7,M,White,0,0,0,0,1925
14,F,White,0,13,1,5,1951
2,M,Black,0,4,3,1,1949
3,M,Black,0,25,4,11,1950
16,M,White,0,13,1,9,1959
3,F,Black,0,8,2,5,1953
4,M,Asian/Pacific,0,1,1,0,1981
3,M,White,0,9,1,2,1980
7,M,White,0,31,1,10,1979
9,F,Hispanic,0,10,3,6,1971
19,M,White,0,22,3,11,1949
18,M,Black,0,9,4,3,1953
9,M,White,0,37,1,21,1955
8,F,White,0,7,1,4,1957
4,M,Black,1,47,5,20,1959
2,M,White,0,26,4,13,1972
24,M,White,0,4,1,3,1959
7,M,White,0,11,1,3,1952
11,M,Black,0,19,4,7,1958
22,F,Black,0,13,2,4,1961
10,M,White,1,0,0,0,1925
9,M,White,0,0,0,0,1937
10,M,Asian/Pacific,1,1,1,0,1984
7,M,White,0,13,1,2,1975
24,M,White,0,0,0,0,1948
25,M,White,0,0,0,0,1924
18,F,White,0,7,0,3,1948
16,M,White,0,6,0,5,1951
8,M,White,0,13,0,8,1961
16,M,White,0,0,0,0,1927
23,M,Native American/Alaskan Native,0,9,0,6,1970
4,M,White,1,0,0,0,1939
18,M,Black,0,4,0,4,1953
22,F,White,0,15,0,7,1954
6,F,Black,0,6,0,3,1954
17,F,White,0,9,0,6,1961
7,M,Black,0,7,0,4,1953
10,F,White,0,7,0,5,1968
19,M,Hispanic,0,6,0,2,1977
1,F,White,0,13,0,5,1973
19,M,White,0,2,1,0,1931
17,M,White,0,9,0,9,1945
18,M,White,0,4,0,3,1946
7,M,Black,0,3,0,1,1939
13,F,White,0,3,0,2,1962
20,M,White,0,2,0,0,1959
23,M,White,0,3,0,0,1972
4,M,White,1,3,0,0,1983
3,M,Black,0,0,0,0,1962
8,M,White,0,0,0,0,1939
10,M,Hispanic,1,0,0,0,1964
1,M,White,0,0,0,0,1946
5,M,White,0,0,0,0,1936
22,M,White,0,0,0,0,1926
20,M,White,0,0,0,0,1935
11,M,Black,0,0,0,0,1933
22,M,White,0,0,0,0,1939
1,M,White,0,0,0,0,1925
5,M,White,0,0,0,0,1947
1,M,White,0,0,0,0,1928
12,M,White,0,0,0,0,1929
4,M,White,1,0,0,0,1938
18,M,White,0,0,0,0,1924
